Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Neuropathy (General),"Pregabalin (150 mg twice daily), duloxetine (60 mg daily), B12.","Nerve conduction studies, EMG, blood glucose.","Numbness, tingling, burning pain, weakness.","[{'text': 'Neuropathy', 'label': 'ENTITY', 'umls_cui': 'C0442874', 'umls_score': 0.9947786927223206}]","[{'text': 'Pregabalin', 'label': 'ENTITY', 'umls_cui': 'C0657912', 'umls_score': 0.9587262272834778}, {'text': 'duloxetine', 'label': 'ENTITY', 'umls_cui': 'C0245561', 'umls_score': 0.960111677646637}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'B12', 'label': 'ENTITY', 'umls_cui': 'C0042845', 'umls_score': 0.989314079284668}]","[{'text': 'Nerve conduction studies', 'label': 'ENTITY', 'umls_cui': 'C0200125', 'umls_score': 0.969454824924469}, {'text': 'EMG', 'label': 'ENTITY', 'umls_cui': 'C0013839', 'umls_score': 0.9510006308555603}, {'text': 'blood glucose', 'label': 'ENTITY', 'umls_cui': 'C0005802', 'umls_score': 0.9949735999107361}]","[{'text': 'Numbness', 'label': 'ENTITY', 'umls_cui': 'C0020580', 'umls_score': 0.9541221857070923}, {'text': 'tingling', 'label': 'ENTITY', 'umls_cui': 'C0030554', 'umls_score': 0.9621715545654297}, {'text': 'burning pain', 'label': 'ENTITY', 'umls_cui': 'C0234230', 'umls_score': 0.9714349508285522}, {'text': 'weakness', 'label': 'ENTITY', 'umls_cui': 'C0004093', 'umls_score': 0.9751015901565552}]"
Blepharoconjunctivitis,"Tobramycin drops (0.3%), warm compresses, lid hygiene.","Slitlamp exam, swab culture if bacterial.","Eyelid redness, crusting, itchy eyes, discharge.","[{'text': 'Blepharoconjunctivitis', 'label': 'ENTITY', 'umls_cui': 'C0005743', 'umls_score': 0.9824604988098145}]","[{'text': 'Tobramycin drops', 'label': 'ENTITY', 'umls_cui': 'C0040341', 'umls_score': 0.7990750670433044}, {'text': 'warm compresses', 'label': 'ENTITY', 'umls_cui': 'C0180053', 'umls_score': 0.8259609937667847}, {'text': 'lid hygiene', 'label': 'ENTITY', 'umls_cui': 'C0020405', 'umls_score': 0.7928804755210876}]","[{'text': 'Slitlamp exam', 'label': 'ENTITY', 'umls_cui': 'C0419360', 'umls_score': 0.7035570740699768}, {'text': 'swab culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.7787100672721863}, {'text': 'bacterial', 'label': 'ENTITY', 'umls_cui': 'C0521009', 'umls_score': 0.987280547618866}]","[{'text': 'Eyelid redness', 'label': 'ENTITY', 'umls_cui': 'C0858967', 'umls_score': 0.9793484807014465}, {'text': 'crusting', 'label': 'ENTITY', 'umls_cui': 'C0205204', 'umls_score': 0.9712477326393127}, {'text': 'itchy eyes', 'label': 'ENTITY', 'umls_cui': 'C0022281', 'umls_score': 0.9828106760978699}, {'text': 'discharge', 'label': 'ENTITY', 'umls_cui': 'C0012621', 'umls_score': 0.990285336971283}]"
Acute Headache (NonSpecific),"Ibuprofen (400 mg), sumatriptan (50 mg if migraine), hydration.","Clinical history, CT/MRI if red flags (e.g., thunderclap).","Sudden head pain, nausea, photophobia, stiffness.","[{'text': 'Acute Headache', 'label': 'ENTITY', 'umls_cui': 'C0744633', 'umls_score': 0.9866024851799011}, {'text': 'NonSpecific', 'label': 'ENTITY', 'umls_cui': 'C0750540', 'umls_score': 0.9915021061897278}]","[{'text': 'Ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'sumatriptan', 'label': 'ENTITY', 'umls_cui': 'C0075632', 'umls_score': 0.9816184639930725}, {'text': 'migraine', 'label': 'ENTITY', 'umls_cui': 'C0149931', 'umls_score': 0.9632647037506104}, {'text': 'hydration', 'label': 'ENTITY', 'umls_cui': 'C1321013', 'umls_score': 0.9771467447280884}]","[{'text': 'Clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}, {'text': 'CT/MRI', 'label': 'ENTITY'}, {'text': 'red flags', 'label': 'ENTITY'}, {'text': 'thunderclap', 'label': 'ENTITY', 'umls_cui': 'C0521668', 'umls_score': 0.7710033059120178}]","[{'text': 'Sudden head pain', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.7417508363723755}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}, {'text': 'photophobia', 'label': 'ENTITY', 'umls_cui': 'C0085636', 'umls_score': 0.9786372780799866}, {'text': 'stiffness', 'label': 'ENTITY', 'umls_cui': 'C1660792', 'umls_score': 0.8270248770713806}]"
MERS (Middle East Respiratory Syndrome),"Supportive care, oxygen, no specific antiviral.","RTPCR (MERSCoV), chest CT, travel history.","Fever, cough, dyspnea, kidney failure risk.","[{'text': 'MERS', 'label': 'ENTITY', 'umls_cui': 'C3694279', 'umls_score': 0.9832784533500671}, {'text': 'Middle East Respiratory Syndrome', 'label': 'ENTITY', 'umls_cui': 'C3694279', 'umls_score': 0.9833239316940308}]","[{'text': 'Supportive care', 'label': 'ENTITY', 'umls_cui': 'C0344211', 'umls_score': 0.9841068983078003}, {'text': 'oxygen', 'label': 'ENTITY', 'umls_cui': 'C0030054', 'umls_score': 0.9706076383590698}, {'text': 'antiviral', 'label': 'ENTITY', 'umls_cui': 'C0003451', 'umls_score': 0.9794577956199646}]","[{'text': 'RTPCR', 'label': 'ENTITY', 'umls_cui': 'C0599161', 'umls_score': 0.9960041046142578}, {'text': 'MERSCoV', 'label': 'ENTITY'}, {'text': 'chest CT', 'label': 'ENTITY', 'umls_cui': 'C0202823', 'umls_score': 0.9898857474327087}, {'text': 'travel history', 'label': 'ENTITY', 'umls_cui': 'C0489542', 'umls_score': 0.9869006872177124}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'kidney failure', 'label': 'ENTITY', 'umls_cui': 'C0035078', 'umls_score': 0.9820765256881714}, {'text': 'risk', 'label': 'ENTITY', 'umls_cui': 'C0035647', 'umls_score': 0.9762120842933655}]"
Heart Attack (Myocardial Infarction),"Aspirin (325 mg), PCI, heparin (60 units/kg IV bolus).","ECG (ST elevation), troponin (>0.04 ng/mL), cath.","Chest pain, dyspnea, sweating, nausea.","[{'text': 'Heart Attack', 'label': 'ENTITY', 'umls_cui': 'C0027051', 'umls_score': 0.9900604486465454}, {'text': 'Myocardial Infarction', 'label': 'ENTITY', 'umls_cui': 'C0027051', 'umls_score': 0.952881395816803}]","[{'text': 'Aspirin', 'label': 'ENTITY', 'umls_cui': 'C0004057', 'umls_score': 0.9810118675231934}, {'text': 'PCI', 'label': 'ENTITY', 'umls_cui': 'C1418370', 'umls_score': 0.9909812211990356}, {'text': 'heparin', 'label': 'ENTITY', 'umls_cui': 'C0019134', 'umls_score': 0.9821662902832031}]","[{'text': 'ECG', 'label': 'ENTITY', 'umls_cui': 'C0013798', 'umls_score': 0.990286648273468}, {'text': 'ST', 'label': 'ENTITY'}, {'text': 'elevation', 'label': 'ENTITY', 'umls_cui': 'C0439775', 'umls_score': 0.9518306851387024}, {'text': 'troponin', 'label': 'ENTITY', 'umls_cui': 'C0041199', 'umls_score': 0.985008955001831}, {'text': 'cath', 'label': 'ENTITY'}]","[{'text': 'Chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'sweating', 'label': 'ENTITY', 'umls_cui': 'C0038990', 'umls_score': 0.9434435963630676}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}]"
Chronic Neck Pain,"Ibuprofen (400 mg), heat therapy, physical therapy.","Physical exam, Xray/MRI, rule out radiculopathy.","Stiffness, aching, radiating pain, limited motion.","[{'text': 'Chronic Neck Pain', 'label': 'ENTITY', 'umls_cui': 'C0746815', 'umls_score': 0.9816316962242126}]","[{'text': 'Ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'heat therapy', 'label': 'ENTITY', 'umls_cui': 'C0020548', 'umls_score': 0.9886149764060974}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}]","[{'text': 'Physical exam', 'label': 'ENTITY', 'umls_cui': 'C0031809', 'umls_score': 0.9741718769073486}, {'text': 'Xray/MRI', 'label': 'ENTITY'}, {'text': 'radiculopathy', 'label': 'ENTITY', 'umls_cui': 'C0700594', 'umls_score': 0.9949135184288025}]","[{'text': 'Stiffness', 'label': 'ENTITY', 'umls_cui': 'C1660792', 'umls_score': 0.8270248770713806}, {'text': 'aching', 'label': 'ENTITY', 'umls_cui': 'C0234238', 'umls_score': 0.9886873364448547}, {'text': 'radiating pain', 'label': 'ENTITY', 'umls_cui': 'C0234254', 'umls_score': 0.9833083748817444}, {'text': 'limited motion', 'label': 'ENTITY', 'umls_cui': 'C1857108', 'umls_score': 0.8298949003219604}]"
Episcleritis,"NSAID drops (e.g., ketorolac 0.5%), observation, treat cause.","Slitlamp exam, rule out scleritis/systemic disease.","Eye redness, mild pain, tearing, sectoral involvement.","[{'text': 'Episcleritis', 'label': 'ENTITY', 'umls_cui': 'C0014583', 'umls_score': 0.9842466115951538}]","[{'text': 'NSAID', 'label': 'ENTITY', 'umls_cui': 'C0003211', 'umls_score': 0.983016312122345}, {'text': 'drops', 'label': 'ENTITY', 'umls_cui': 'C0991568', 'umls_score': 0.9908820986747742}, {'text': 'ketorolac', 'label': 'ENTITY', 'umls_cui': 'C0073631', 'umls_score': 0.9892278909683228}, {'text': 'observation', 'label': 'ENTITY', 'umls_cui': 'C0302523', 'umls_score': 0.9607546329498291}, {'text': 'treat', 'label': 'ENTITY', 'umls_cui': 'C1292734', 'umls_score': 0.9973037838935852}, {'text': 'cause', 'label': 'ENTITY', 'umls_cui': 'C0015127', 'umls_score': 0.9771540760993958}]","[{'text': 'Slitlamp exam', 'label': 'ENTITY', 'umls_cui': 'C0419360', 'umls_score': 0.7035570740699768}, {'text': 'scleritis/systemic disease', 'label': 'ENTITY', 'umls_cui': 'C0442893', 'umls_score': 0.7180694341659546}]","[{'text': 'Eye redness', 'label': 'ENTITY', 'umls_cui': 'C0235267', 'umls_score': 0.9773136377334595}, {'text': 'mild pain', 'label': 'ENTITY', 'umls_cui': 'C0278138', 'umls_score': 0.9774658679962158}, {'text': 'tearing', 'label': 'ENTITY', 'umls_cui': 'C0039409', 'umls_score': 0.9797453284263611}, {'text': 'sectoral', 'label': 'ENTITY', 'umls_cui': 'C0439741', 'umls_score': 0.9824081063270569}, {'text': 'involvement', 'label': 'ENTITY', 'umls_cui': 'C1314939', 'umls_score': 0.9601795673370361}]"
Hepatitis C Virus,"Sofosbuvir/ledipasvir (400/90 mg daily), ribavirin (1000 mg daily).","HCV antibody, RNA PCR, liver biopsy.","Fatigue, jaundice, nausea, liver pain (chronic).","[{'text': 'Hepatitis C Virus', 'label': 'ENTITY', 'umls_cui': 'C0019196', 'umls_score': 0.9799217581748962}]","[{'text': 'Sofosbuvir/ledipasvir', 'label': 'ENTITY', 'umls_cui': 'C3858051', 'umls_score': 0.8733851313591003}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'ribavirin', 'label': 'ENTITY', 'umls_cui': 'C0035525', 'umls_score': 0.9514617919921875}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'HCV', 'label': 'ENTITY', 'umls_cui': 'C0019196', 'umls_score': 0.9888982772827148}, {'text': 'antibody', 'label': 'ENTITY', 'umls_cui': 'C0003241', 'umls_score': 0.9883284568786621}, {'text': 'RNA PCR', 'label': 'ENTITY', 'umls_cui': 'C0032520', 'umls_score': 0.7033771872520447}, {'text': 'liver biopsy', 'label': 'ENTITY', 'umls_cui': 'C0193388', 'umls_score': 0.973344087600708}]","[{'text': 'Fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'jaundice', 'label': 'ENTITY', 'umls_cui': 'C0022346', 'umls_score': 0.947461724281311}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}, {'text': 'liver pain', 'label': 'ENTITY', 'umls_cui': 'C0522067', 'umls_score': 0.9777532815933228}, {'text': 'chronic', 'label': 'ENTITY', 'umls_cui': 'C0205191', 'umls_score': 0.991936981678009}]"
Motion Sickness (Entry 2),"Meclizine (25 mg every 6 hours), ginger, fix gaze.","History of motion exposure, clinical symptoms.","Nausea, vomiting, dizziness, sweating during travel.","[{'text': 'Motion Sickness', 'label': 'ENTITY', 'umls_cui': 'C0026603', 'umls_score': 0.961057186126709}, {'text': 'Entry 2', 'label': 'ENTITY', 'umls_cui': 'C1550548', 'umls_score': 0.8928224444389343}]","[{'text': 'Meclizine', 'label': 'ENTITY', 'umls_cui': 'C0025039', 'umls_score': 0.9563657641410828}, {'text': 'hours', 'label': 'ENTITY', 'umls_cui': 'C0439227', 'umls_score': 0.9980335831642151}, {'text': 'ginger', 'label': 'ENTITY', 'umls_cui': 'C0162751', 'umls_score': 0.9711690545082092}, {'text': 'fix gaze', 'label': 'ENTITY', 'umls_cui': 'C0016183', 'umls_score': 0.7565802335739136}]","[{'text': 'History of motion', 'label': 'ENTITY', 'umls_cui': 'C0262926', 'umls_score': 0.7609397172927856}, {'text': 'clinical symptoms', 'label': 'ENTITY'}]","[{'text': 'Nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}, {'text': 'vomiting', 'label': 'ENTITY', 'umls_cui': 'C0042963', 'umls_score': 0.9573907256126404}, {'text': 'dizziness', 'label': 'ENTITY', 'umls_cui': 'C0012833', 'umls_score': 0.9417304992675781}, {'text': 'travel', 'label': 'ENTITY', 'umls_cui': 'C0040802', 'umls_score': 0.9811955094337463}]"
Lymphangitis,"Penicillin (500 mg 4x daily), clindamycin (300 mg 3x daily).","Clinical exam, blood culture, lymph node ultrasound.","Red streaks, swelling, pain, fever.","[{'text': 'Lymphangitis', 'label': 'ENTITY', 'umls_cui': 'C0024225', 'umls_score': 0.9878899455070496}]","[{'text': 'Penicillin', 'label': 'ENTITY', 'umls_cui': 'C0030842', 'umls_score': 0.9926230907440186}, {'text': 'clindamycin', 'label': 'ENTITY', 'umls_cui': 'C0008947', 'umls_score': 0.9775041937828064}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'blood culture', 'label': 'ENTITY', 'umls_cui': 'C0200949', 'umls_score': 0.9858720302581787}, {'text': 'lymph node ultrasound', 'label': 'ENTITY', 'umls_cui': 'C4527289', 'umls_score': 0.8791068196296692}]","[{'text': 'Red streaks', 'label': 'ENTITY'}, {'text': 'swelling', 'label': 'ENTITY', 'umls_cui': 'C0013604', 'umls_score': 0.9542832970619202}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}]"
Pulmonary Hypertension (Entry 3),"Epoprostenol (IV continuous), treprostinil (subQ), oxygen.","Echo (elevated RVSP), right heart cath (mPAP >20 mmHg).","Dyspnea, fatigue, chest pain, syncope.","[{'text': 'Pulmonary Hypertension', 'label': 'ENTITY', 'umls_cui': 'C0020542', 'umls_score': 0.982732892036438}, {'text': 'Entry 3', 'label': 'ENTITY', 'umls_cui': 'C1550548', 'umls_score': 0.8928224444389343}]","[{'text': 'Epoprostenol (IV continuous', 'label': 'ENTITY'}, {'text': 'treprostinil', 'label': 'ENTITY', 'umls_cui': 'C1145760', 'umls_score': 0.9793359637260437}, {'text': 'subQ', 'label': 'ENTITY'}, {'text': 'oxygen', 'label': 'ENTITY', 'umls_cui': 'C0030054', 'umls_score': 0.9706076383590698}]","[{'text': 'Echo', 'label': 'ENTITY', 'umls_cui': 'C0058928', 'umls_score': 0.9836705923080444}, {'text': 'RVSP', 'label': 'ENTITY', 'umls_cui': 'C0456181', 'umls_score': 0.9783578515052795}, {'text': 'right heart cath', 'label': 'ENTITY', 'umls_cui': 'C0225808', 'umls_score': 0.8422197699546814}, {'text': 'mPAP', 'label': 'ENTITY'}, {'text': 'mmHg', 'label': 'ENTITY', 'umls_cui': 'C0439475', 'umls_score': 0.989119827747345}]","[{'text': 'Dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'syncope', 'label': 'ENTITY', 'umls_cui': 'C0039070', 'umls_score': 0.9831191897392273}]"
Histoplasmosis,"Itraconazole (200 mg twice daily), amphotericin B (0.7 mg/kg IV).","Chest Xray (nodules), Histoplasma antigen, culture.","Fever, cough, fatigue, chest pain (disseminated).","[{'text': 'Histoplasmosis', 'label': 'ENTITY', 'umls_cui': 'C0019655', 'umls_score': 0.9884571433067322}]","[{'text': 'Itraconazole', 'label': 'ENTITY', 'umls_cui': 'C0064113', 'umls_score': 0.9736788272857666}, {'text': 'amphotericin B', 'label': 'ENTITY', 'umls_cui': 'C0002679', 'umls_score': 0.9753387570381165}]","[{'text': 'Chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'nodules', 'label': 'ENTITY', 'umls_cui': 'C0028259', 'umls_score': 0.9830520749092102}, {'text': 'Histoplasma antigen', 'label': 'ENTITY', 'umls_cui': 'C0019653', 'umls_score': 0.7779480814933777}, {'text': 'culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.976164698600769}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'disseminated', 'label': 'ENTITY', 'umls_cui': 'C0205221', 'umls_score': 0.9841350317001343}]"
Cerebral Palsy,"Baclofen (10 mg 3x daily), physical therapy, support.","Clinical exam, MRI (brain injury), developmental history.","Spasticity, motor delay, coordination issues, seizures.","[{'text': 'Cerebral Palsy', 'label': 'ENTITY', 'umls_cui': 'C0007789', 'umls_score': 0.9559046030044556}]","[{'text': 'Baclofen', 'label': 'ENTITY', 'umls_cui': 'C0004609', 'umls_score': 0.9696244597434998}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'brain injury', 'label': 'ENTITY', 'umls_cui': 'C0270611', 'umls_score': 0.9729661345481873}, {'text': 'developmental history', 'label': 'ENTITY', 'umls_cui': 'C0678723', 'umls_score': 0.7779722213745117}]","[{'text': 'Spasticity', 'label': 'ENTITY', 'umls_cui': 'C0026838', 'umls_score': 0.9768262505531311}, {'text': 'motor delay', 'label': 'ENTITY', 'umls_cui': 'C0520947', 'umls_score': 0.9827377200126648}, {'text': 'coordination issues', 'label': 'ENTITY', 'umls_cui': 'C0700114', 'umls_score': 0.7658392190933228}, {'text': 'seizures', 'label': 'ENTITY', 'umls_cui': 'C0036572', 'umls_score': 0.9452638626098633}]"
DCIS (Ductal Carcinoma In Situ Breast Cancer),"Lumpectomy, tamoxifen (20 mg daily), radiation if high risk.","Mammogram, biopsy (noninvasive cancer).","Often asymptomatic, nipple discharge, mammogram finding.","[{'text': 'DCIS', 'label': 'ENTITY', 'umls_cui': 'C0007124', 'umls_score': 0.9436826705932617}, {'text': 'Ductal Carcinoma', 'label': 'ENTITY', 'umls_cui': 'C1176475', 'umls_score': 0.9876976609230042}, {'text': 'In Situ Breast Cancer', 'label': 'ENTITY', 'umls_cui': 'C0154084', 'umls_score': 0.97129887342453}]","[{'text': 'Lumpectomy', 'label': 'ENTITY', 'umls_cui': 'C0851238', 'umls_score': 0.9814496636390686}, {'text': 'tamoxifen', 'label': 'ENTITY', 'umls_cui': 'C0039286', 'umls_score': 0.9778705835342407}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'radiation', 'label': 'ENTITY', 'umls_cui': 'C0034519', 'umls_score': 0.973841667175293}, {'text': 'high risk', 'label': 'ENTITY', 'umls_cui': 'C0332167', 'umls_score': 0.9815847873687744}]","[{'text': 'Mammogram', 'label': 'ENTITY', 'umls_cui': 'C0024671', 'umls_score': 0.9884366989135742}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'noninvasive cancer', 'label': 'ENTITY', 'umls_cui': 'C0677898', 'umls_score': 0.8386462330818176}]","[{'text': 'Often', 'label': 'ENTITY', 'umls_cui': 'C0332183', 'umls_score': 0.9524219632148743}, {'text': 'asymptomatic', 'label': 'ENTITY', 'umls_cui': 'C0231221', 'umls_score': 0.9688202142715454}, {'text': 'nipple discharge', 'label': 'ENTITY', 'umls_cui': 'C0149741', 'umls_score': 0.9844174981117249}, {'text': 'mammogram finding', 'label': 'ENTITY', 'umls_cui': 'C0024671', 'umls_score': 0.7413275241851807}]"
Cholangiocarcinoma,"Surgery (resection), gemcitabine (1000 mg/m² IV), stenting.","ERCP with biopsy, CA 199, MRCP imaging.","Jaundice, abdominal pain, weight loss, itching.","[{'text': 'Cholangiocarcinoma', 'label': 'ENTITY', 'umls_cui': 'C0206698', 'umls_score': 0.9922623038291931}]","[{'text': 'resection', 'label': 'ENTITY', 'umls_cui': 'C0015252', 'umls_score': 0.972225546836853}, {'text': 'gemcitabine', 'label': 'ENTITY', 'umls_cui': 'C0045093', 'umls_score': 0.9525273442268372}, {'text': 'mg/m² IV', 'label': 'ENTITY'}, {'text': 'stenting', 'label': 'ENTITY', 'umls_cui': 'C0038257', 'umls_score': 0.9929981231689453}]","[{'text': 'ERCP', 'label': 'ENTITY', 'umls_cui': 'C0008310', 'umls_score': 0.9536738395690918}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'CA', 'label': 'ENTITY', 'umls_cui': 'C0006675', 'umls_score': 0.9824712872505188}, {'text': 'MRCP imaging', 'label': 'ENTITY', 'umls_cui': 'C0011923', 'umls_score': 0.7846577167510986}]","[{'text': 'Jaundice', 'label': 'ENTITY', 'umls_cui': 'C0022346', 'umls_score': 0.947461724281311}, {'text': 'abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'itching', 'label': 'ENTITY', 'umls_cui': 'C0033774', 'umls_score': 0.9587393403053284}]"
Pericoronitis,"Amoxicillin (500 mg 3x daily), saline rinse, extraction.","Oral exam (impacted tooth), Xray.","Gum pain, swelling, bad taste, difficulty opening mouth.","[{'text': 'Pericoronitis', 'label': 'ENTITY', 'umls_cui': 'C0031055', 'umls_score': 0.9929404258728027}]","[{'text': 'Amoxicillin', 'label': 'ENTITY', 'umls_cui': 'C0002645', 'umls_score': 0.9741423726081848}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'saline rinse', 'label': 'ENTITY', 'umls_cui': 'C3897009', 'umls_score': 0.813788115978241}, {'text': 'extraction', 'label': 'ENTITY', 'umls_cui': 'C0185115', 'umls_score': 0.9809760451316833}]","[{'text': 'Oral exam', 'label': 'ENTITY'}, {'text': 'impacted tooth', 'label': 'ENTITY', 'umls_cui': 'C0040456', 'umls_score': 0.9812719225883484}, {'text': 'Xray', 'label': 'ENTITY', 'umls_cui': 'C0043299', 'umls_score': 0.9730836153030396}]","[{'text': 'Gum pain', 'label': 'ENTITY', 'umls_cui': 'C0239739', 'umls_score': 0.9528488516807556}, {'text': 'swelling', 'label': 'ENTITY', 'umls_cui': 'C0013604', 'umls_score': 0.9542832970619202}, {'text': 'bad taste', 'label': 'ENTITY', 'umls_cui': 'C0541799', 'umls_score': 0.9610521197319031}, {'text': 'difficulty opening mouth', 'label': 'ENTITY', 'umls_cui': 'C0563350', 'umls_score': 0.978426456451416}]"
Klinefelter Syndrome (Entry 1),"Testosterone (1% gel 50 mg daily), fertility support.","Karyotype (47,XXY), testosterone levels.","Small testes, infertility, gynecomastia, tall stature.","[{'text': 'Klinefelter Syndrome', 'label': 'ENTITY', 'umls_cui': 'C0022735', 'umls_score': 0.955469012260437}]","[{'text': 'Testosterone', 'label': 'ENTITY', 'umls_cui': 'C0039601', 'umls_score': 0.9883452653884888}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'fertility support', 'label': 'ENTITY', 'umls_cui': 'C0015895', 'umls_score': 0.747894823551178}]","[{'text': 'Karyotype', 'label': 'ENTITY', 'umls_cui': 'C0022526', 'umls_score': 0.9851561784744263}, {'text': 'testosterone levels', 'label': 'ENTITY', 'umls_cui': 'C0523912', 'umls_score': 0.8901099562644958}]","[{'text': 'Small testes', 'label': 'ENTITY', 'umls_cui': 'C0241355', 'umls_score': 0.9926905035972595}, {'text': 'infertility', 'label': 'ENTITY', 'umls_cui': 'C0021359', 'umls_score': 0.9897329807281494}, {'text': 'gynecomastia', 'label': 'ENTITY', 'umls_cui': 'C0018418', 'umls_score': 0.973443329334259}, {'text': 'tall stature', 'label': 'ENTITY', 'umls_cui': 'C0241240', 'umls_score': 0.9969270825386047}]"
